home,score,away,year
"Chile CHI
","
2:0 (1:0) 
","URU Uruguay
",1983
"Venezuela VEN
","
1:2 (0:0) 
","URU Uruguay
",1983
"Venezuela VEN
","
0:0 
","CHI Chile
",1983
"Ecuador ECU
","
2:2 (0:1) 
","ARG Argentina
",1983
"Ecuador ECU
","
0:1 (0:1) 
","BRA Brasil
",1983
"Argentina ARG
","
1:0 (0:0) 
","BRA Brasil
",1983
"Brasil BRA
","
5:0 (1:0) 
","ECU Ecuador
",1983
"Argentina ARG
","
2:2 (0:1) 
","ECU Ecuador
",1983
"Brasil BRA
","
0:0 
","ARG Argentina
",1983
"Bolivia BOL
","
0:1 (0:0) 
","COL Colombia
",1983
"Perú PER
","
1:0 (0:0) 
","COL Colombia
",1983
"Bolivia BOL
","
1:1 (0:0) 
","PER Perú
",1983
"Colombia COL
","
2:2 (0:1) 
","PER Perú
",1983
"Colombia COL
","
2:2 (1:0) 
","BOL Bolivia
",1983
"Perú PER
","
2:1 (2:0) 
","BOL Bolivia
",1983
"Perú PER
","
0:1 (0:0) 
","URU Uruguay
",1983
"Uruguay URU
","
1:1 (0:1) 
","PER Perú
",1983
"Paraguay PAR
","
1:1 (0:0) 
","BRA Brasil
",1983
"Brasil BRA
","
0:0 
","PAR Paraguay
",1983
"Uruguay URU
","
2:0 (1:0) 
","BRA Brasil
",1983
"Brasil BRA
","
1:1 (1:0) 
","URU Uruguay
",1983
"Argentina ARG
","
1:1 (0:0) 
","PER Perú
",1987
"Argentina ARG
","
3:0 (0:0) 
","ECU Ecuador
",1987
"Perú PER
","
1:1 (1:1) 
","ECU Ecuador
",1987
"Brasil BRA
","
5:0 (2:0) 
","VEN Venezuela
",1987
"Chile CHI
","
3:1 (1:1) 
","VEN Venezuela
",1987
"Brasil BRA
","
0:4 (0:1) 
","CHI Chile
",1987
"Paraguay PAR
","
0:0 
","BOL Bolivia
",1987
"Colombia COL
","
2:0 (1:0) 
","BOL Bolivia
",1987
"Colombia COL
","
3:0 (2:0) 
","PAR Paraguay
",1987
"Chile CHI
","
2:1 (0:0, 0:0) (t. s.)
","COL Colombia
",1987
"Argentina ARG
","
0:1 (0:1) 
","URU Uruguay
",1987
"Argentina ARG
","
1:2 (0:2) 
","COL Colombia
",1987
"Uruguay URU
","
1:0 (0:0) 
","CHI Chile
",1987
"Paraguay PAR
","
5:2 (2:1) 
","PER Perú
",1989
"Brasil BRA
","
3:1 (2:0) 
","VEN Venezuela
",1989
"Colombia COL
","
4:2 (1:0) 
","VEN Venezuela
",1989
"Brasil BRA
","
0:0 
","PER Perú
",1989
"Perú PER
","
1:1 (1:1) 
","VEN Venezuela
",1989
"Paraguay PAR
","
1:0 (0:0) 
","COL Colombia
",1989
"Paraguay PAR
","
3:0 (1:0) 
","VEN Venezuela
",1989
"Brasil BRA
","
0:0 
","COL Colombia
",1989
"Colombia COL
","
1:1 (1:1) 
","PER Perú
",1989
"Brasil BRA
","
2:0 (0:0) 
","PAR Paraguay
",1989
"Ecuador ECU
","
1:0 (0:0) 
","URU Uruguay
",1989
"Argentina ARG
","
1:0 (0:0) 
","CHI Chile
",1989
"Uruguay URU
","
3:0 (2:0) 
","BOL Bolivia
",1989
"Argentina ARG
","
0:0 
","ECU Ecuador
",1989
"Ecuador ECU
","
0:0 
","BOL Bolivia
",1989
"Uruguay URU
","
3:0 (1:0) 
","CHI Chile
",1989
"Chile CHI
","
5:0 (2:0) 
","BOL Bolivia
",1989
"Argentina ARG
","
1:0 (0:0) 
","URU Uruguay
",1989
"Chile CHI
","
2:1 (1:0) 
","ECU Ecuador
",1989
"Argentina ARG
","
0:0 
","BOL Bolivia
",1989
"Uruguay URU
","
3:0 (1:0) 
","PAR Paraguay
",1989
"Brasil BRA
","
2:0 (0:0) 
","ARG Argentina
",1989
"Uruguay URU
","
2:0 (1:0) 
","ARG Argentina
",1989
"Brasil BRA
","
3:0 (1:0) 
","PAR Paraguay
",1989
"Argentina ARG
","
0:0 
","PAR Paraguay
",1989
"Brasil BRA
","
1:0 (0:0) 
","URU Uruguay
",1989
"Chile CHI
","
2:0 (2:0) 
","VEN Venezuela
",1991
"Paraguay PAR
","
1:0 (1:0) 
","PER Perú
",1991
"Chile CHI
","
4:2 (1:0) 
","PER Perú
",1991
"Argentina ARG
","
3:0 (2:0) 
","VEN Venezuela
",1991
"Paraguay PAR
","
5:0 (2:0) 
","VEN Venezuela
",1991
"Chile CHI
","
0:1 (0:0) 
","ARG Argentina
",1991
"Perú PER
","
5:1 (2:1) 
","VEN Venezuela
",1991
"Argentina ARG
","
4:1 (1:0) 
","PAR Paraguay
",1991
"Argentina ARG
","
3:2 (1:1) 
","PER Perú
",1991
"Chile CHI
","
4:0 (2:0) 
","PAR Paraguay
",1991
"Colombia COL
","
1:0 (1:0) 
","ECU Ecuador
",1991
"Uruguay URU
","
1:1 (0:1) 
","BOL Bolivia
",1991
"Uruguay URU
","
1:1 (0:1) 
","ECU Ecuador
",1991
"Brasil BRA
","
2:1 (1:0) 
","BOL Bolivia
",1991
"Colombia COL
","
0:0 
","BOL Bolivia
",1991
"Brasil BRA
","
1:1 (1:0) 
","URU Uruguay
",1991
"Ecuador ECU
","
4:0 (2:0) 
","BOL Bolivia
",1991
"Colombia COL
","
2:0 (1:0) 
","BRA Brasil
",1991
"Uruguay URU
","
1:0 (1:0) 
","COL Colombia
",1991
"Brasil BRA
","
3:1 (1:1) 
","ECU Ecuador
",1991
"Argentina ARG
","
3:2 (2:1) 
","BRA Brasil
",1991
"Chile CHI
","
1:1 (0:1) 
","COL Colombia
",1991
"Chile CHI
","
0:0 (0:0) 
","ARG Argentina
",1991
"Brasil BRA
","
2:0 (1:0) 
","COL Colombia
",1991
"Chile Chile
","
0:2 (0:1) 
","BRA Brasil
",1991
"Argentina ARG
","
2:1 (2:0) 
","COL Colombia
",1991
"Ecuador ECU
","
6:1 (2:0) 
","VEN Venezuela
",1993
"Uruguay URU
","
1:0 (0:0) 
","USA Estados Unidos
",1993
"Uruguay URU
","
2:2 (1:1) 
","VEN Venezuela
",1993
"Ecuador ECU
","
2:0 (2:0) 
","USA Estados Unidos
",1993
"Venezuela VEN
","
3:3 (0:2) 
","USA Estados Unidos
",1993
"Ecuador ECU
","
2:1 (1:0) 
","URU Uruguay
",1993
"Paraguay PAR
","
1:0 (1:0) 
","CHI Chile
",1993
"Perú PER
","
0:0 
","BRA Brasil
",1993
"Paraguay PAR
","
1:1 (1:0) 
","PER Perú
",1993
"Chile CHI
","
3:2 (1:1) 
","BRA Brasil
",1993
"Perú PER
","
1:0 (1:0) 
","CHI Chile
",1993
"Brasil BRA
","
3:0 (1:0) 
","PAR Paraguay
",1993
"Colombia COL
","
2:1 (1:0) 
","MEX México
",1993
"Argentina ARG
","
1:0 (0:0) 
","BOL Bolivia
",1993
"México MEX
","
1:1 (1:1) 
","ARG Argentina
",1993
"Colombia COL
","
1:1 (1:1) 
","BOL Bolivia
",1993
"México MEX
","
0:0 
","BOL Bolivia
",1993
"Argentina ARG
","
1:1 (1:1) 
","COL Colombia
",1993
"Ecuador ECU
","
3:0 (2:0) 
","PAR Paraguay
",1993
"Colombia COL
","
1:1 (0:0) (5:3 p.)
","URU Uruguay
",1993
"Argentina ARG
","
1:1 (0:1) (6:5 p.)
","BRA Brasil
",1993
"México MEX
","
4:2 (3:0) 
","PER Perú
",1993
"Ecuador ECU
","
0:2 (0:1) 
","MEX México
",1993
"Argentina ARG
","
0:0 (6:5 p.)
","COL Colombia
",1993
"Ecuador ECU
","
0:1 (0:0) 
","COL Colombia
",1993
"Argentina ARG
","
2:1 (0:0) 
","MEX México
",1993
"Uruguay URU
","
4:1 (2:0) 
","VEN Venezuela
",1995
"Paraguay PAR
","
2:1 (0:1) 
","MEX México
",1995
"Uruguay URU
","
1:0 (1:0) 
","PAR Paraguay
",1995
"México MEX
","
3:1 (1:0) 
","VEN Venezuela
",1995
"Paraguay PAR
","
3:2 (1:1) 
","VEN Venezuela
",1995
"Uruguay URU
","
1:1 (0:0) 
","MEX México
",1995
"Colombia COL
","
1:1 (0:0) 
","PER Perú
",1995
"Brasil BRA
","
1:0 (0:0) 
","ECU Ecuador
",1995
"Colombia COL
","
1:0 (1:0) 
","ECU Ecuador
",1995
"Brasil BRA
","
2:0 (0:0) 
","PER Perú
",1995
"Ecuador ECU
","
2:1 (0:0) 
","PER Perú
",1995
"Brasil BRA
","
3:0 (1:0) 
","COL Colombia
",1995
"Estados Unidos USA
","
2:1 (2:0) 
","CHI Chile
",1995
"Argentina ARG
","
2:1 (0:0) 
","BOL Bolivia
",1995
"Bolivia BOL
","
1:0 (1:0) 
","USA Estados Unidos
",1995
"Argentina ARG
","
4:0 (2:0) 
","CHI Chile
",1995
"Bolivia BOL
","
2:2 (0:0) 
","CHI Chile
",1995
"Estados Unidos USA
","
3:0 (2:0) 
","ARG Argentina
",1995
"Colombia COL
","
1:1 (0:1) (5:4 p.)
","PAR Paraguay
",1995
"Uruguay URU
","
2:1 (2:0) 
","BOL Bolivia
",1995
"Estados Unidos USA
","
0:0 (4:1 p.)
","MEX México
",1995
"Brasil BRA
","
2:2 (1:2) (4:2 p.)
","ARG Argentina
",1995
"Uruguay URU
","
2:0 (0:0) 
","COL Colombia
",1995
"Brasil BRA
","
1:0 (1:0) 
","USA Estados Unidos
",1995
"Colombia COL
","
4:1 (2:0) 
","USA Estados Unidos
",1995
"Uruguay URU
","
1:1 (0:1) (5:3 p.)
","BRA Brasil
",1995
"Paraguay PAR
","
1:0 (1:0) 
","CHI Chile
",1997
"Ecuador ECU
","
0:0 
","ARG Argentina
",1997
"Paraguay PAR
","
0:2 (0:0) 
","ECU Ecuador
",1997
"Argentina ARG
","
2:0  (0:0) 
","CHI Chile
",1997
"Ecuador ECU
","
2:1 (1:0) 
","CHI Chile
",1997
"Paraguay PAR
","
1:1 (0:0) 
","ARG Argentina
",1997
"Perú PER
","
1:0 (0:0) 
","URU Uruguay
",1997
"Bolivia BOL
","
1:0 (0:0) 
","VEN Venezuela
",1997
"Uruguay URU
","
2:0 (1:0) 
","VEN Venezuela
",1997
"Bolivia BOL
","
2:0 (1:0) 
","PER Perú
",1997
"Perú PER
","
2:0 (1:0) 
","VEN Venezuela
",1997
"Bolivia BOL
","
1:0 (1:0) 
","URU Uruguay
",1997
"Colombia COL
","
1:2 (0:2) 
","MEX México
",1997
"Brasil BRA
","
5:0 (2:0) 
","CRC Costa Rica
",1997
"Colombia COL
","
4:1 (2:0) 
","CRC Costa Rica
",1997
"Brasil BRA
","
3:2 (0:2) 
","MEX México
",1997
"México MEX
","
1:1 (1:0) 
","CRC Costa Rica
",1997
"Brasil BRA
","
2:0 (1:0) 
","COL Colombia
",1997
"Argentina ARG
","
1:2 (0:1) 
","PER Perú
",1997
"Bolivia BOL
","
2:1 (2:0) 
","COL Colombia
",1997
"México MEX
","
1:1 (1:1) (4:3 p.)
","ECU Ecuador
",1997
"Brasil BRA
","
2:0 (2:0) 
","PAR Paraguay
",1997
"Bolivia BOL
","
3:1 (2:1) 
","MEX México
",1997
"Perú PER
","
0:7 (0:4) 
","BRA Brasil
",1997
"Perú PER
","
0:1 (0:0) 
","MEX México
",1997
"Bolivia BOL
","
1:3 (1:1) 
","BRA Brasil
",1997
"Perú PER
","
3:2 (0:1) 
","JPN Japón
",1999
"Paraguay PAR
","
0:0 
","BOL Bolivia
",1999
"Perú PER
","
1:0 (0:0) 
","BOL Bolivia
",1999
"Paraguay PAR
","
4:0 (2:0) 
","JPN Japón
",1999
"Japón JPN
","
1:1 (0:0) 
","BOL Bolivia
",1999
"Paraguay PAR
","
1:0 (0:0) 
","PER Perú
",1999
"Chile CHI
","
0:1 (0:0) 
","MEX México
",1999
"Brasil BRA
","
7:0 (2:0) 
","VEN Venezuela
",1999
"Brasil BRA
","
2:1 (2:0) 
","MEX México
",1999
"Chile CHI
","
3:0 (2:0) 
","VEN Venezuela
",1999
"México MEX
","
3:1 (3:0) 
","VEN Venezuela
",1999
"Brasil BRA
","
1:0 (1:0) 
","CHI Chile
",1999
"Uruguay URU
","
0:1 (0:1) 
","COL Colombia
",1999
"Argentina ARG
","
3:1 (1:0) 
","ECU Ecuador
",1999
"Uruguay URU
","
2:1 (0:0) 
","ECU Ecuador
",1999
"Argentina ARG
","
0:3 (0:1) 
","COL Colombia
",1999
"Colombia COL
","
2:1 (2:0) 
","ECU Ecuador
",1999
"Argentina ARG
","
2:0 (1:0) 
","URU Uruguay
",1999
"Perú PER
","
3:3 (3:2) (2:4 p.)
","MEX México
",1999
"Paraguay PAR
","
1:1 (1:0) (3:5 p.)
","URU Uruguay
",1999
"Colombia COL
","
2:3 (2:1) 
","CHI Chile
",1999
"Brasil BRA
","
2:1 (1:1) 
","ARG Argentina
",1999
"Uruguay URU
","
1:1 (1:0) (5:3 p.)
","CHI Chile
",1999
"México MEX
","
0:2 (0:2) 
","BRA Brasil
",1999
"Chile CHI
","
1:2 (0:1) 
","MEX México
",1999
"Uruguay URU
","
0:3 (0:2) 
","BRA Brasil
",1999
"Ecuador ECU
","
1:4 (0:1) 
","CHI Chile
",2001
"Colombia COL
","
2:0 (1:0) 
","VEN Venezuela
",2001
"Chile CHI
","
1:0 (0:0) 
","VEN Venezuela
",2001
"Colombia COL
","
1:0 (1:0) 
","ECU Ecuador
",2001
"Ecuador ECU
","
4:0 (2:0) 
","VEN Venezuela
",2001
"Colombia COL
","
2:0 (1:0) 
","CHI Chile
",2001
"Perú PER
","
3:3 (1:1) 
","PAR Paraguay
",2001
"Brasil BRA
","
0:1 (0:1) 
","MEX México
",2001
"Brasil BRA
","
2:0 (1:0) 
","PER Perú
",2001
"Paraguay PAR
","
0:0 
","MEX México
",2001
"Perú PER
","
1:0 (0:0) 
","MEX México
",2001
"Brasil BRA
","
3:1 (0:1) 
","PAR Paraguay
",2001
"Bolivia BOL
","
0:1 (0:0) 
","URU Uruguay
",2001
"Honduras HON
","
0:1 (0:0) 
","CRC Costa Rica
",2001
"Uruguay URU
","
1:1 (0:1) 
","CRC Costa Rica
",2001
"Honduras HON
","
2:0 (0:0) 
","BOL Bolivia
",2001
"Bolivia BOL
","
0:4 (0:1) 
","CRC Costa Rica
",2001
"Honduras HON
","
1:0 (0:0) 
","URU Uruguay
",2001
"Chile CHI
","
0:2 (0:1) 
","MEX México
",2001
"Costa Rica CRC
","
1:2 (0:0) 
","URU Uruguay
",2001
"Colombia COL
","
3:0 (0:0) 
","PER Perú
",2001
"Honduras HON
","
2:0 (0:0) 
","BRA Brasil
",2001
"México MEX
","
2:1 (1:1) 
","URU Uruguay
",2001
"Colombia COL
","
2:0 (1:0) 
","HON Honduras
",2001
"Honduras HON
","
2:2 (2:2) (5:4 p.)
","URU Uruguay
",2001
"Colombia Colombia
","
1:0 (0:0) 
","México México
",2001
"Colombia COL
","
1:0 (1:0) 
","VEN Venezuela
",2004
"Perú PER
","
2:2 (0:1) 
","BOL Bolivia
",2004
"Colombia COL
","
1:0 (0:0) 
","BOL Bolivia
",2004
"Perú PER
","
3:1 (1:0) 
","VEN Venezuela
",2004
"Venezuela VEN
","
1:1 (1:1) 
","BOL Bolivia
",2004
"Perú PER
","
2:2 (0:1) 
","COL Colombia
",2004
"Uruguay URU
","
2:2 (1:1) 
","MEX México
",2004
"Argentina ARG
","
6:1 (1:0) 
","ECU Ecuador
",2004
"Uruguay URU
","
2:1 (0:0) 
","ECU Ecuador
",2004
"México MEX
","
1:0 (1:0) 
","ARG Argentina
",2004
"México MEX
","
2:1 (2:0) 
","ECU Ecuador
",2004
"Argentina ARG
","
4:2 (2:2) 
","URU Uruguay
",2004
"Paraguay PAR
","
1:0 (0:0) 
","CRC Costa Rica
",2004
"Brasil BRA
","
1:0 (0:0) 
","CHI Chile
",2004
"Brasil BRA
","
4:1 (1:0) 
","CRC Costa Rica
",2004
"Paraguay PAR
","
1:1 (0:0) 
","CHI Chile
",2004
"Chile CHI
","
1:2 (1:0) 
","CRC Costa Rica
",2004
"Brasil BRA
","
1:2 (1:1) 
","PAR Paraguay
",2004
"Perú PER
","
0:1 (0:0) 
","ARG Argentina
",2004
"Colombia COL
","
2:0 (2:0) 
","CRC Costa Rica
",2004
"Paraguay PAR
","
1:3 (1:1) 
","URU Uruguay
",2004
"México MEX
","
0:4 (0:1) 
","BRA Brasil
",2004
"Argentina ARG
","
3:0 (1:0) 
","COL Colombia
",2004
"Brasil BRA
","
1:1 (0:1) (5:3 p.)
","URU Uruguay
",2004
"Colombia COL
","
1:2 (0:1) 
","URU Uruguay
",2004
"Argentina ARG
","
2:2 (1:1) (2:4 p.)
","BRA Brasil
",2004
"Uruguay URU
","
0:3 (0:1) 
","PER Perú
",2007
"Venezuela VEN
","
2:2 (1:1) 
","BOL Bolivia
",2007
"Bolivia BOL
","
0:1 (0:0) 
","URU Uruguay
",2007
"Venezuela VEN
","
2:0 (0:0) 
","PER Perú
",2007
"Perú PER
","
2:2 (1:2) 
","BOL Bolivia
",2007
"Venezuela VEN
","
0:0 
","URU Uruguay
",2007
"Ecuador ECU
","
2:3 (2:1) 
","CHI Chile
",2007
"Brasil BRA
","
0:2 (0:2) 
","MEX México
",2007
"Brasil BRA
","
3:0 (1:0) 
","CHI Chile
",2007
"México MEX
","
2:1 (1:0) 
","ECU Ecuador
",2007
"México MEX
","
0:0 
","CHI Chile
",2007
"Brasil BRA
","
1:0 (0:0) 
","ECU Ecuador
",2007
"Paraguay PAR
","
5:0 (1:0) 
","COL Colombia
",2007
"Argentina ARG
","
4:1 (1:1) 
","USA Estados Unidos
",2007
"Estados Unidos USA
","
1:3 (1:1) 
","PAR Paraguay
",2007
"Argentina ARG
","
4:2 (3:1) 
","COL Colombia
",2007
"Colombia COL
","
1:0 (1:0) 
","USA Estados Unidos
",2007
"Argentina ARG
","
1:0 (0:0) 
","PAR Paraguay
",2007
"Venezuela VEN
","
1:4 (1:1) 
","URU Uruguay
",2007
"Chile CHI
","
1:6 (0:3) 
","BRA Brasil
",2007
"México MEX
","
6:0 (3:0) 
","PAR Paraguay
",2007
"Argentina ARG
","
4:0 (0:0) 
","PER Perú
",2007
"Uruguay URU
","
2:2 (1:2) (4:5 p.)
","BRA Brasil
",2007
"México MEX
","
0:3 (0:1) 
","ARG Argentina
",2007
"Uruguay URU
","
1:3 (1:1) 
","MEX México
",2007
"Brasil BRA
","
3:0 (1:0) 
","ARG Argentina
",2007
"Argentina 
","
1:1 (0:0) 
"," Bolivia
",2011
"Colombia 
","
1:0 (1:0) 
"," Costa Rica
",2011
"Argentina 
","
0:0 
"," Colombia
",2011
"Bolivia 
","
0:2 (0:0) 
"," Costa Rica
",2011
"Colombia 
","
2:0 (2:0) 
"," Bolivia
",2011
"Argentina 
","
3:0 (1:0) 
"," Costa Rica
",2011
"Brasil BRA
","
0:0 
","VEN Venezuela
",2011
"Paraguay PAR
","
0:0 
","ECU Ecuador
",2011
"Brasil BRA
","
2:2 (1:0) 
","PAR Paraguay
",2011
"Venezuela VEN
","
1:0 (0:0) 
","ECU Ecuador
",2011
"Paraguay PAR
","
3:3 (1:1) 
","VEN Venezuela
",2011
"Brasil BRA
","
4:2 (1:1) 
","ECU Ecuador
",2011
"Uruguay URU
","
1:1 (1:1) 
","PER Perú
",2011
"Chile CHI
","
2:1 (0:1) 
","MEX México
",2011
"Uruguay URU
","
1:1 (0:0) 
","CHI Chile
",2011
"México MEX
","
0:1 (0:0) 
","PER Perú
",2011
"Chile CHI
","
1:0 (0:0) 
","PER Perú
",2011
"Uruguay URU
","
1:0 (1:0) 
","MEX México
",2011
"Colombia COL
","
0:2 (0:0, 0:0) (t. s.)
","PER Perú
",2011
"Argentina ARG
","
1:1 (1:1, 1:1) (t. s.)(4:5 p.)
","URU Uruguay
",2011
"Brasil BRA
","
0:0 (t. s.)(0:2 p.)
","PAR Paraguay
",2011
"Chile CHI
","
1:2 (0:1) 
","VEN Venezuela
",2011
"Perú PER
","
0:2 (0:0) 
","URU Uruguay
",2011
"Paraguay PAR
","
0:0 (t. s.)(5:3 p.)
","VEN Venezuela
",2011
"Perú PER
","
4:1 (1:0) 
","VEN Venezuela
",2011
"Uruguay URU
","
3:0 (2:0) 
","PAR Paraguay
",2011
"Chile CHI
","
2:0 (0:0) 
","ECU Ecuador
",2015
"México MEX
","
0:0 
","BOL Bolivia
",2015
"Ecuador ECU
","
2:3 (0:3) 
","BOL Bolivia
",2015
"Chile CHI
","
3:3 (2:2) 
","MEX México
",2015
"México MEX
","
1:2 (0:1) 
","ECU Ecuador
",2015
"Chile CHI
","
5:0 (2:0) 
","BOL Bolivia
",2015
"Uruguay URU
","
1:0 (0:0) 
","JAM Jamaica
",2015
"Argentina ARG
","
2:2 (2:0) 
","PAR Paraguay
",2015
"Paraguay PAR
","
1:0 (1:0) 
","JAM Jamaica
",2015
"Argentina ARG
","
1:0 (0:0) 
","URU Uruguay
",2015
"Uruguay URU
","
1:1 (1:1) 
","PAR Paraguay
",2015
"Argentina ARG
","
1:0 (1:0) 
","JAM Jamaica
",2015
"Colombia COL
","
0:1 (0:0) 
","VEN Venezuela
",2015
"Brasil BRA
","
2:1 (1:1) 
","PER Perú
",2015
"Brasil BRA
","
0:1 (0:1) 
","COL Colombia
",2015
"Perú PER
","
1:0 (0:0) 
","VEN Venezuela
",2015
"Colombia COL
","
0:0 
","PER Perú
",2015
"Brasil BRA
","
2:1 (1:0) 
","VEN Venezuela
",2015
"Chile CHI
","
1:0 (0:0) 
","URU Uruguay
",2015
"Bolivia BOL
","
1:3 (0:2) 
","PER Perú
",2015
"Argentina ARG
","
0:0 (5:4 p.)
","COL Colombia
",2015
"Brasil BRA
","
1:1 (1:0) (3:4 p.)
","PAR Paraguay
",2015
"Chile 
","
2:1 (1:0) 
"," Perú
",2015
"Argentina 
","
6:1 (2:1) 
"," Paraguay
",2015
"Perú PER
","
2:0 (0:0) 
","PAR Paraguay
",2015
"Chile CHI
","
0:0 (t. s.)(4:1 p.)
","ARG Argentina
",2015
"Trinidad y Tobago TRI
","
0:1 (0:0) 
","HAI Haití
",2016
"Panamá PAN
","
4:0 (2:0) 
","CUB Cuba
",2016
"Estados Unidos USA
","
0:2 (0:2) 
","COL Colombia
",2016
"Costa Rica CRC
","
0:0 
","PAR Paraguay
",2016
"Estados Unidos USA
","
4:0 (3:0) 
","CRC Costa Rica
",2016
"Colombia COL
","
2:1 (2:0) 
","PAR Paraguay
",2016
"Estados Unidos USA
","
1:0 (1:0) 
","PAR Paraguay
",2016
"Colombia COL
","
2:3 (1:2) 
","CRC Costa Rica
",2016
"Haití HAI
","
0:1 (0:0) 
","PER Perú
",2016
"Brasil BRA
","
0:0 
","ECU Ecuador
",2016
"Brasil BRA
","
7:1 (3:0) 
","HAI Haití
",2016
"Ecuador ECU
","
2:2 (1:2) 
","PER Perú
",2016
"Ecuador ECU
","
4:0 (2:0) 
","HAI Haití
",2016
"Brasil BRA
","
0:1 (0:0) 
","PER Perú
",2016
"Jamaica JAM
","
0:1 (0:1) 
","VEN Venezuela
",2016
"México MEX
","
3:1 (1:0) 
","URU Uruguay
",2016
"Uruguay URU
","
0:1 (0:1) 
","VEN Venezuela
",2016
"México MEX
","
2:0 (1:0) 
","JAM Jamaica
",2016
"México MEX
","
1:1 (0:1) 
","VEN Venezuela
",2016
"Uruguay URU
","
3:0 (1:0) 
","JAM Jamaica
",2016
"Panamá PAN
","
2:1 (1:0) 
","BOL Bolivia
",2016
"Argentina ARG
","
2:1 (0:0) 
","CHI Chile
",2016
"Chile CHI
","
2:1 (0:0) 
","BOL Bolivia
",2016
"Argentina ARG
","
5:0 (1:0) 
","PAN Panamá
",2016
"Chile CHI
","
4:2 (2:1) 
","PAN Panamá
",2016
"Argentina ARG
","
3:0 (3:0) 
","BOL Bolivia
",2016
"Estados Unidos USA
","
2:1 (1:0) 
","ECU Ecuador
",2016
"Perú PER
","
0:0 (2:4 p.)
","COL Colombia
",2016
"Argentina ARG
","
4:1 (2:0) 
","VEN Venezuela
",2016
"México MEX
","
0:7 (0:2) 
","CHI Chile
",2016
"Estados Unidos USA
","
0:4 (0:2) 
","ARG Argentina
",2016
"Colombia COL
","
0:2 (0:2) 
","CHI Chile
",2016
"Estados Unidos USA
","
0:1 (0:1) 
","COL Colombia
",2016
"Argentina ARG
","
0:0 (t. s.)(2:4 p.)
","CHI Chile
",2016
"Brasil 
","
3:0 (0:0) 
"," Bolivia
",2019
"Venezuela 
","
0:0 
"," Perú
",2019
"Bolivia 
","
1:3 (1:1) 
"," Perú
",2019
"Brasil 
","
0:0 
"," Venezuela
",2019
"Perú 
","
0:5 (0:3) 
"," Brasil
",2019
"Bolivia 
","
1:3 (0:1) 
"," Venezuela
",2019
"Argentina 
","
0:2 (0:0) 
"," Colombia
",2019
"Paraguay 
","
2:2 (1:0) 
"," Catar
",2019
"Colombia 
","
1:0 (0:0) 
"," Catar
",2019
"Argentina 
","
1:1 (0:1) 
"," Paraguay
",2019
"Catar 
","
0:2 (0:1) 
"," Argentina
",2019
"Colombia 
","
1:0 (1:0) 
"," Paraguay
",2019
"Uruguay 
","
4:0 (3:0) 
"," Ecuador
",2019
"Japón 
","
0:4 (0:1) 
"," Chile
",2019
"Uruguay 
","
2:2 (1:1) 
"," Japón
",2019
"Ecuador 
","
1:2 (1:1) 
"," Chile
",2019
"Chile 
","
0:1 (0:0) 
"," Uruguay
",2019
"Ecuador 
","
1:1 (1:1) 
"," Japón
",2019
"Brasil 
","
0:0 (4:3 p.)
"," Paraguay
",2019
"Venezuela 
","
0:2 (0:1) 
"," Argentina
",2019
"Colombia 
","
0:0 (4:5 p.)
"," Chile
",2019
"Uruguay 
","
0:0 (4:5 p.)
"," Perú
",2019
"Brasil 
","
2:0 (1:0) 
"," Argentina
",2019
"Chile 
","
0:3 (0:2) 
"," Perú
",2019
"Argentina 
","
2:1 (2:0) 
"," Chile
",2019
"Brasil 
","
3:1 (2:1) 
"," Perú
",2019
"Argentina 
","
1:1 (1:0) 
"," Chile
",2021
"Paraguay 
","
3:1 (0:1) 
"," Bolivia
",2021
"Chile 
","
1:0 (1:0) 
"," Bolivia
",2021
"Argentina 
","
1:0 (1:0) 
"," Uruguay
",2021
"Uruguay 
","
1:1 (0:1) 
"," Chile
",2021
"Argentina 
","
1:0 (1:0) 
"," Paraguay
",2021
"Bolivia 
","
0:2 (0:1) 
"," Uruguay
",2021
"Chile 
","
0:2 (0:1) 
"," Paraguay
",2021
"Bolivia 
","
1:4 (0:3) 
"," Argentina
",2021
"Uruguay 
","
1:0 (1:0) 
"," Paraguay
",2021
"Brasil 
","
3:0 (1:0) 
"," Venezuela
",2021
"Colombia 
","
1:0 (1:0) 
"," Ecuador
",2021
"Colombia 
","
0:0 
"," Venezuela
",2021
"Brasil 
","
4:0 (1:0) 
"," Perú
",2021
"Venezuela 
","
2:2 (0:1) 
"," Ecuador
",2021
"Colombia 
","
1:2 (0:1) 
"," Perú
",2021
"Ecuador 
","
2:2 (2:0) 
"," Perú
",2021
"Brasil 
","
2:1 (0:1) 
"," Colombia
",2021
"Brasil 
","
1:1 (1:0) 
"," Ecuador
",2021
"Venezuela 
","
0:1 (0:0) 
"," Perú
",2021
"Perú 
","
3:3 (2:1) (4:3 p.)
"," Paraguay
",2021
"Brasil 
","
1:0 (0:0) 
"," Chile
",2021
"Uruguay 
","
0:0 (2:4 p.)
"," Colombia
",2021
"Argentina 
","
3:0 (1:0) 
"," Ecuador
",2021
"Brasil 
","
1:0 (1:0) 
"," Perú
",2021
"Argentina 
","
1:1 (1:0) (3:2 p.)
"," Colombia
",2021
"Colombia 
","
3:2 (0:1) 
"," Perú
",2021
"Argentina 
","
1:0 (1:0) 
"," Brasil
",2021
